Country:  China, Item Type: Baby_Food, Priority: H, Order Date: 07/01/2015, Order ID: 888084399, Shipping Date: 08/09/2015, Units Sold: 2764, Unit Price: 255.28, Unit Cost: 159.42, Revenue: 705593.92, Total Cost: 440636.88, Total Profit: 264957.04
Country:  Senegal, Item Type: Household, Priority: M, Order Date: 10/02/2010, Order ID: 188331258, Shipping Date: 11/08/2010, Units Sold: 2592, Unit Price: 668.27, Unit Cost: 502.54, Revenue: 173081.93, Total Cost: 130157.86, Total Profit: 42924.07
Country:  Spain, Item Type: Cosmetics, Priority: H, Order Date: 02/01/2020, Order ID: 419298636, Shipping Date: 03/12/2020, Units Sold: 8639, Unit Price: 437.2, Unit Cost: 263.33, Revenue: 3776970.8, Total Cost: 2274907.87, Total Profit: 1502062.93
Country:  Iraq, Item Type: Beverages, Priority: L, Order Date: 12/01/2017, Order ID: 720097863, Shipping Date: 01/10/2016, Units Sold: 1815, Unit Price: 47.45, Unit Cost: 31.79, Revenue: 86121.75, Total Cost: 57698.85, Total Profit: 28422.9
Country:  Brunei, Item Type: Fruits, Priority: M, Order Date: 03/04/2017, Order ID: 300152766, Shipping Date: 04/08/2016, Units Sold: 7281, Unit Price: 9.33, Unit Cost: 6.92, Revenue: 61792.24, Total Cost: 50307.76, Total Profit: 1754.48
Country:  Croatia, Item Type: Snacks, Priority: H, Order Date: 03/01/2015, Order ID: 300636422, Shipping Date: 04/01/2013, Units Sold: 3853, Unit Price: 152.58, Unit Cost: 97.44, Revenue: 587890.74, Total Cost: 375436.32, Total Profit: 212454.42
Country:  Canada, Item Type: drinks, Priority: M, Order Date: 05/12/2018, Order ID: 685241162, Shipping Date: 06/09/2019, Units Sold: 6942, Unit Price: 437.2, Unit Cost: 263.33, Revenue: 3035042.4, Total Cost: 1828036.86, Total Profit: 1207005.54
Country:  Slovakia, Item Type: Clothes, Priority: C, Order Date: 12/07/2011, Order ID: 149590289, Shipping Date: 01/07/2012, Units Sold: 5946, Unit Price: 109.28, Unit Cost: 35.84, Revenue: 649778.88, Total Cost: 213104.64, Total Profit: 436674.24
Country:  New_Zealand, Item Type: food, Priority: H, Order Date: 02/01/2013, Order ID: 809724843, Shipping Date: 03/12/2011, Units Sold: 4430, Unit Price: 651.21, Unit Cost: 524.96, Revenue: 2884860.3, Total Cost: 2325572.8, Total Profit: 559287.5
Country:  Australia, Item Type: drinks, Priority: C, Order Date: 01/11/2011, Order ID: 663861167, Shipping Date: 02/11/2012, Units Sold: 1274, Unit Price: 81.73, Unit Cost: 56.67, Revenue: 10379.71, Total Cost: 71907.09, Total Profit: 3182.62
Country:  West_Indies, Item Type: Fruits, Priority: M, Order Date: 05/12/2013, Order ID: 876110589, Shipping Date: 07/10/2012, Units Sold: 9447, Unit Price: 9.33, Unit Cost: 6.92, Revenue: 88140.51, Total Cost: 65373.24, Total Profit: 22767.27
Country:  Australia, Item Type: Meat, Priority: H, Order Date: 09/08/2012, Order ID: 880896937, Shipping Date: 11/05/2011, Units Sold: 5834, Unit Price: 421.89, Unit Cost: 364.69, Revenue: 2461306.26, Total Cost: 2127601.46, Total Profit: 333704.8
Country:  Chile, Item Type: Meat, Priority: L, Order Date: 09/02/2020, Order ID: 700874793, Shipping Date: 11/11/2018, Units Sold: 3281, Unit Price: 421.89, Unit Cost: 364.69, Revenue: 1384221.09, Total Cost: 1196547.89, Total Profit: 187673.2
